Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
None,Rust,.NET Core,CassandraDB,Git,Yes,Yes,No,Systems Analyst,No,No
1-3 years,C,CryEngine,Other (please specify),Other (please specify),Yes,Yes,Yes,Mobile Developer,Yes,Yes
Less than 1 year,Ruby,OpenVAS,OracleDB,CircleCI,No,Yes,Yes,Cybersecurity Analyst,No,No
None,C#,Kali Linux,PostgreSQL,Terraform,Yes,Yes,Yes,Data Scientist,No,Yes
More than 5 years,PHP,Next.js,CassandraDB,Azure,No,Yes,No,DevOps Engineer,No,No
1-3 years,Swift,Wireshark,Microsoft SQL Server,Jenkins,Yes,No,No,Front-End Developer,No,Yes
3-5 years,Swift,WPF,MySQL,Ansible,Yes,No,Yes,Network Engineer,Yes,Yes
3-5 years,Kotlin,Xamarin,SQLite,Nginx,Yes,No,Yes,IT Support Specialist,No,No
1-3 years,Ruby,Scikit-Learn,SQLite,Kubernetes,Yes,No,No,Mobile Developer,No,No
None,PHP,React Native,MySQL,Git,Yes,No,No,IT Support Specialist,Yes,Yes
Less than 1 year,Dart,Flask,Other (please specify),Other (please specify),Yes,No,No,Product Manager,Yes,No
More than 5 years,TypeScript,Express.js,MongoDB,Git,Yes,Yes,Yes,Software Engineer,Yes,No
1-3 years,TypeScript,Dask,PostgreSQL,GitLab CI/CD,Yes,Yes,No,DevOps Engineer,Yes,No
Less than 1 year,C#,Qt,Microsoft SQL Server,CircleCI,Yes,No,No,Game Developer,No,Yes
None,Ruby,Pandas,Redis,Azure,Yes,Yes,No,Front-End Developer,No,No
More than 5 years,Python,Snort,SQLite,GitLab CI/CD,Yes,Yes,Yes,Systems Analyst,Yes,No
None,JavaScript,Wireshark,SQLite,DigitalOcean,No,No,No,Other (please specify),Yes,Yes
Less than 1 year,None,Numpy,CassandraDB,Jenkins,Yes,No,Yes,Front-End Developer,Yes,Yes
1-3 years,None,Wireshark,MongoDB,Terraform,Yes,Yes,Yes,AI Researcher,Yes,Yes
More than 5 years,TypeScript,SwiftUI,Other (please specify),Travis CI,No,No,Yes,Project Manager,No,No
1-3 years,None,Flutter,OracleDB,Terraform,Yes,Yes,No,Robotics Engineer,No,Yes
